assunto,marca,solicitacoes
Cobrança,OI,1631958
Cobrança,VIVO,1508479
"Qualidade, Funcionamento e Reparo",OI,1004141
Cobrança,CLARO,937568
Cobrança,TIM,848595
Cobrança,NET,688316
"Qualidade, Funcionamento e Reparo",VIVO,636872
Qualidade e Funcionamento do Serviço ou Equipamento,OI,496782
Crédito Pré-pago,TIM,490934
Cobrança,SKY,431030
"Qualidade, Funcionamento e Reparo",TIM,421812
Cancelamento,VIVO,338277
Instalação ou Ativação ou Habilitação,OI,312812
Instalação ou Ativação ou Habilitação,VIVO,274189
"Oferta, Bônus, Promoções, Mensagens Publicitárias e Mudança de Plano",TIM,261787
Cancelamento,OI,256509
"Oferta, Bônus, Promoções, Mensagens Publicitárias e Mudança de Plano",OI,246415
Cancelamento,TIM,243069
"Oferta, Bônus, Promoções, Mensagens Publicitárias e Mudança de Plano",VIVO,238938
Qualidade e Funcionamento do Serviço ou Equipamento,VIVO,224888
Crédito Pré-pago,VIVO,220334
Crédito Pré-pago,CLARO,219331
Cobrança,NEXTEL,217467
"Qualidade, Funcionamento e Reparo",NET,205937
Cancelamento,CLARO,191783
"Qualidade, Funcionamento e Reparo",CLARO,187814
Bloqueio ou Suspensão e Desbloqueio,TIM,187093
Bloqueio ou Suspensão e Desbloqueio,OI,185039
Bloqueio ou Suspensão e Desbloqueio,VIVO,180482
Atendimento,VIVO,172275
Crédito Pré-pago,OI,167861
Instalação ou Ativação ou Habilitação,TIM,158926
"Oferta, Bônus, Promoções, Mensagens Publicitárias e Mudança de Plano",CLARO,150680
Bloqueio ou Suspensão e Desbloqueio,CLARO,136860
Cancelamento,NET,129903
Atendimento,OI,129540
Instalação ou Ativação ou Habilitação,NET,115848
Atendimento,TIM,114183
Instalação ou Ativação ou Habilitação,CLARO,109954
"Oferta, Bônus, Promoções, Mensagens Publicitárias e Mudança de Plano",NET,103723
Atendimento,CLARO,102090
Ressarcimento,TIM,101860
Mudança de Endereço,VIVO,96614
Mudança de Endereço,OI,92268
"Qualidade, Funcionamento e Reparo",SKY,91937
Ressarcimento,VIVO,83369
Bloqueio ou Suspensão e Desbloqueio,NET,81524
"Qualidade, Funcionamento e Reparo",Outros,81396
"Documento de Cobrança, Contrato, Gravações",OI,81050
Bloqueio ou Suspensão e Desbloqueio,SKY,78214
"Documento de Cobrança, Contrato, Gravações",VIVO,77954
Ressarcimento,OI,75754
Instalação ou Ativação ou Habilitação,SKY,72333
Qualidade e Funcionamento do Serviço ou Equipamento,TIM,70260
Portabilidade,VIVO,70020
Qualidade e Funcionamento do Serviço ou Equipamento,NET,66480
Portabilidade,TIM,65601
Cancelamento,NEXTEL,62260
Qualidade e Funcionamento do Serviço ou Equipamento,SKY,59088
Cancelamento,SKY,58361
Dados cadastrais e número da linha,TIM,58346
Ressarcimento,CLARO,58162
NÃO APLICÁVEL,Outros,58098
Atendimento,Outros,57093
"Documento de Cobrança, Contrato, Gravações",TIM,55307
Qualidade e Funcionamento do Serviço ou Equipamento,CLARO,55203
Dados cadastrais e número da linha,VIVO,48574
Portabilidade,CLARO,47443
Atendimento,NET,47339
"Oferta, Bônus, Promoções, Mensagens Publicitárias e Mudança de Plano",SKY,45322
Canais de Relacionamento,Outros,44774
Dificuldade em cancelar,OI,40453
Portabilidade,OI,39591
"Bloqueio, desbloqueio ou Suspensão",CLARO,39445
"Plano de serviços, Oferta, Bônus, Promoções e Mensagens Publicitárias",TIM,38903
"Plano de serviços, Oferta, Bônus, Promoções e Mensagens Publicitárias",CLARO,37174
Cobrança,Outros,37151
Atendimento,SKY,36126
"Documento de Cobrança, Contrato, Gravações",CLARO,35080
Mudança de Endereço,NET,34918
Ressarcimento,SKY,34440
"Documento de Cobrança, Contrato, Gravações",NET,33829
Mudança de Plano,VIVO,33795
Dificuldade em cancelar,CLARO,33343
Mudança de Plano,OI,33065
Cópia de Documentos,Outros,32336
Portabilidade,NET,31610
"Plano de serviços, Oferta, Bônus, Promoções e Mensagens Publicitárias",VIVO,31413
"Qualidade, Funcionamento e Reparo",NEXTEL,31282
Dificuldade em cancelar,VIVO,30516
Dados cadastrais e número da linha,OI,30300
Dificuldade em cancelar,TIM,29848
"Bloqueio, desbloqueio ou Suspensão",TIM,29392
Bloqueio ou Suspensão e Desbloqueio,NEXTEL,28442
"Plano de serviços, Oferta, Bônus, Promoções e Mensagens Publicitárias",OI,26191
"Documento de Cobrança, Contrato, Relatório, Gravações",OI,25945
"Documento de Cobrança, Contrato, Relatório, Gravações",VIVO,25436
