canal,ano,solicitacoes
Call Center,2015,2678054
Call Center,2016,2639317
Call Center,2017,2187665
Call Center,2018,1785063
Call Center,2019,1693256
Fale Conosco,2015,1309620
Fale Conosco,2016,1056873
Fale Conosco,2017,954644
Fale Conosco,2018,891670
Fale Conosco,2019,802859
Call Center,2020,543306
Usuário WEB,2020,454009
Aplicativo Móvel,2019,323732
Aplicativo Móvel,2018,296283
Aplicativo Móvel,2017,291805
Mobile App,2020,272302
Aplicativo Móvel,2016,249401
Usuário WEB,2019,125738
Aplicativo Móvel,2015,116480
Mobile App,2019,65511
Atendimento Pessoal,2015,22859
Atendimento Pessoal,2016,14598
Atendimento Pessoal,2017,11967
Atendimento Pessoal,2018,8095
Atendimento Pessoal,2019,7552
Correspondência,2015,3887
SIC,2015,1465
SIC,2016,1286
SIC,2018,1093
SIC,2017,1035
Fax,2015,465
SIC,2019,260
Fax,2016,235
E-mail,2016,136
Correspondência,2018,120
Correspondência,2017,117
Correspondência,2016,115
Fax,2017,93
E-mail,2017,90
E-mail,2015,70
TTS,2015,58
TTS,2016,56
SEI,2020,48
TTS,2017,29
E-mail,2018,16
E-mail,2019,12
Correspondência,2019,8
TTS,2018,7
SOA,2015,7
TTS,2019,6
SOA,2017,5
SOA,2016,4
Fax,2018,2
