ano_mes,marca,servico,solicitacoes
2016-03,OI,STFC,63393
2015-03,OI,STFC,63392
2015-07,OI,STFC,61631
2015-05,OI,STFC,60277
2015-04,OI,STFC,57740
2016-02,OI,STFC,56916
2016-01,OI,STFC,56081
2015-06,OI,STFC,55331
2015-08,OI,STFC,53194
2015-09,OI,STFC,51086
2016-04,OI,STFC,49248
2015-10,OI,STFC,46942
2016-05,OI,STFC,45853
2015-12,OI,STFC,45650
2015-11,OI,STFC,45408
2016-08,OI,STFC,44097
2016-06,OI,STFC,43779
2017-03,OI,STFC,40653
2015-02,OI,STFC,40448
2017-01,OI,STFC,40332
2017-08,OI,STFC,39550
2016-11,OI,STFC,39526
2016-07,OI,STFC,39257
2016-12,OI,STFC,38804
2019-07,TIM,SMP_Pós,38793
2019-05,TIM,SMP_Pós,38614
2016-09,OI,STFC,37987
2019-04,TIM,SMP_Pós,37562
2019-01,TIM,SMP_Pós,37278
2017-05,OI,STFC,36069
2016-10,OI,STFC,35503
2015-07,OI,SCM,35068
2017-02,OI,STFC,34873
2017-10,OI,STFC,34746
2015-08,VIVO,SMP_Pós,34507
2016-03,OI,SCM,34475
2015-07,VIVO,SMP_Pós,33705
2019-08,TIM,SMP_Pós,33467
2015-03,OI,SCM,33431
2017-01,VIVO,SMP_Pós,33237
2015-09,VIVO,SMP_Pós,33229
2016-08,VIVO,SMP_Pós,33120
2018-04,TIM,SMP_Pós,32672
2018-01,OI,STFC,32670
2018-11,TIM,SMP_Pós,32593
2018-12,TIM,SMP_Pós,32580
2017-09,OI,STFC,32405
2016-03,VIVO,SMP_Pós,32330
2017-07,OI,STFC,32076
2015-12,VIVO,SMP_Pós,32055
2019-02,TIM,SMP_Pós,31886
2015-08,OI,SCM,31821
2016-08,TIM,SMP_Pós,31802
2016-05,VIVO,SMP_Pós,31434
2019-03,TIM,SMP_Pós,31432
2015-06,VIVO,SMP_Pós,31282
2015-08,SKY,SeAC,31054
2015-03,VIVO,SMP_Pós,31049
2016-04,VIVO,SMP_Pós,30875
2017-06,OI,STFC,30678
2019-06,TIM,SMP_Pós,30670
2015-01,OI,STFC,30641
2015-09,OI,SCM,30474
2015-07,CLARO,SMP_Pós,30443
2018-10,TIM,SMP_Pós,30439
2015-10,VIVO,SMP_Pós,30296
2017-04,OI,STFC,30274
2015-04,OI,SCM,30267
2018-08,OI,STFC,30248
2016-01,VIVO,SMP_Pós,30154
2015-06,OI,SCM,29909
2015-05,OI,SCM,29841
2018-03,OI,STFC,29798
2017-03,VIVO,SMP_Pós,29775
2017-01,TIM,SMP_Pós,29747
2016-06,VIVO,SMP_Pós,29730
2016-02,VIVO,SMP_Pós,29670
2017-11,OI,STFC,29644
2015-07,SKY,SeAC,29600
2018-10,OI,STFC,29593
2016-11,VIVO,SMP_Pós,29589
2016-11,TIM,SMP_Pós,29396
2018-08,TIM,SMP_Pós,29277
2015-05,VIVO,SMP_Pós,29260
2018-04,OI,STFC,29152
2018-03,TIM,SMP_Pós,28980
2018-07,TIM,SMP_Pós,28959
2018-01,TIM,SMP_Pós,28905
2017-03,TIM,SMP_Pós,28901
2016-08,TIM,SMP_Pré,28900
2017-05,VIVO,SMP_Pós,28860
2017-05,TIM,SMP_Pós,28834
2016-07,VIVO,SMP_Pós,28821
2016-12,VIVO,SMP_Pós,28816
2016-02,OI,SCM,28717
2019-01,OI,STFC,28704
2018-05,TIM,SMP_Pós,28662
2017-08,TIM,SMP_Pós,28654
2015-11,VIVO,SMP_Pós,28632
2020-01,TIM,SMP_Pós,28401
2015-03,SKY,SeAC,28353
2016-03,CLARO,SMP_Pós,28230
2016-10,VIVO,SMP_Pós,28165
2019-05,OI,STFC,28148
2018-07,OI,STFC,28096
2015-03,VIVO,STFC,27970
2015-04,VIVO,SMP_Pós,27805
2019-10,TIM,SMP_Pós,27672
2015-06,CLARO,SMP_Pós,27671
2015-07,TIM,SMP_Pós,27667
2016-09,VIVO,SMP_Pós,27637
2015-08,CLARO,SMP_Pós,27632
2017-11,TIM,SMP_Pós,27463
2019-09,TIM,SMP_Pós,27426
2020-04,CLARO,SCM,27410
2016-07,TIM,SMP_Pós,27335
2020-05,CLARO,SCM,27316
2016-01,OI,SCM,27303
2016-04,OI,SCM,27280
2016-12,TIM,SMP_Pós,27237
2015-10,OI,SCM,27160
2015-10,CLARO,SMP_Pós,27160
2018-05,OI,STFC,27058
2015-09,SKY,SeAC,27042
2016-09,TIM,SMP_Pós,26997
2016-03,VIVO,STFC,26930
2018-09,OI,STFC,26772
2019-04,OI,STFC,26731
2018-11,OI,STFC,26645
2017-12,OI,STFC,26513
2018-02,OI,STFC,26433
2017-03,CLARO,SMP_Pós,26354
2017-07,TIM,SMP_Pós,26328
2017-10,TIM,SMP_Pós,26312
2016-10,TIM,SMP_Pós,26301
2018-06,TIM,SMP_Pós,26106
2018-06,OI,STFC,25999
2015-09,CLARO,SMP_Pós,25986
2015-06,SKY,SeAC,25961
2017-12,TIM,SMP_Pós,25905
2019-02,OI,STFC,25889
2015-10,VIVO,STFC,25878
2020-05,CLARO,SMP_Pós,25871
2017-02,VIVO,SMP_Pós,25714
2018-09,TIM,SMP_Pós,25588
2016-11,TIM,SMP_Pré,25560
2016-01,CLARO,SMP_Pós,25545
2017-06,TIM,SMP_Pós,25536
2019-03,OI,STFC,25455
2017-08,VIVO,SMP_Pós,25400
2015-11,OI,SCM,25393
2017-09,TIM,SMP_Pós,25328
2017-04,VIVO,SMP_Pós,25289
2015-11,CLARO,SMP_Pós,25268
2016-07,TIM,SMP_Pré,25184
2016-08,CLARO,SMP_Pós,25177
2015-05,CLARO,SMP_Pós,25111
2017-01,CLARO,SMP_Pós,25002
2019-12,TIM,SMP_Pós,24984
2016-05,OI,SCM,24959
2019-10,VIVO,SMP_Pós,24871
2018-02,TIM,SMP_Pós,24813
2015-04,VIVO,STFC,24735
2017-07,VIVO,SMP_Pós,24690
2017-05,CLARO,SMP_Pós,24672
2017-08,CLARO,SMP_Pós,24473
2015-09,VIVO,STFC,24471
2017-06,VIVO,SMP_Pós,24461
2016-10,TIM,SMP_Pré,24414
2015-06,TIM,SMP_Pós,24375
2019-01,VIVO,SMP_Pós,24326
2015-12,OI,SCM,24283
2019-07,OI,STFC,24242
2020-05,TIM,SMP_Pós,24208
2015-12,CLARO,SMP_Pós,24132
2016-02,VIVO,STFC,24127
2020-02,TIM,SMP_Pós,24078
2016-01,VIVO,STFC,24050
2017-01,OI,SCM,24034
2020-03,TIM,SMP_Pós,24022
2016-02,CLARO,SMP_Pós,23990
2020-04,CLARO,SMP_Pós,23972
2015-08,TIM,SMP_Pós,23955
2015-07,VIVO,STFC,23915
2015-11,VIVO,STFC,23913
2015-11,TIM,SMP_Pós,23705
2018-12,OI,STFC,23688
2017-11,TIM,SMP_Pré,23633
2017-01,VIVO,STFC,23630
2015-12,TIM,SMP_Pós,23485
2017-04,TIM,SMP_Pós,23468
2016-09,CLARO,SMP_Pós,23427
2017-02,TIM,SMP_Pós,23267
2020-04,TIM,SMP_Pós,23230
2016-06,CLARO,SMP_Pós,23152
2015-02,OI,SCM,23120
2016-11,CLARO,SMP_Pós,23087
2019-09,VIVO,SMP_Pós,23040
2016-06,TIM,SMP_Pós,22991
2016-09,TIM,SMP_Pré,22984
2016-04,CLARO,SMP_Pós,22970
2016-07,CLARO,SMP_Pós,22934
2016-06,VIVO,STFC,22912
2015-03,TIM,SMP_Pós,22881
2020-01,CLARO,SMP_Pós,22880
2015-04,SKY,SeAC,22854
2016-01,TIM,SMP_Pós,22841
2017-05,TIM,SMP_Pré,22770
2019-11,TIM,SMP_Pós,22748
2016-05,CLARO,SMP_Pós,22739
2018-03,VIVO,SMP_Pós,22723
2020-03,CLARO,SMP_Pós,22718
2015-05,SKY,SeAC,22665
2016-06,OI,SCM,22598
2015-03,CLARO,SMP_Pós,22591
2017-07,CLARO,SMP_Pós,22570
2016-12,CLARO,SMP_Pós,22559
2019-08,OI,STFC,22549
2019-03,CLARO,SMP_Pós,22505
2015-10,SKY,SeAC,22438
2017-03,VIVO,STFC,22416
2015-09,TIM,SMP_Pós,22413
2017-10,TIM,SMP_Pré,22402
2016-08,OI,SCM,22395
2016-03,SKY,SeAC,22391
2016-02,SKY,SeAC,22385
2015-12,VIVO,STFC,22347
2015-12,TIM,SMP_Pré,22324
2016-03,TIM,SMP_Pós,22302
2015-02,SKY,SeAC,22291
2016-10,CLARO,SMP_Pós,22274
2017-03,OI,SCM,22253
2019-01,VIVO,STFC,22214
2015-05,VIVO,STFC,22178
2017-06,CLARO,SMP_Pós,22133
2015-03,TIM,SMP_Pré,21992
2018-01,TIM,SMP_Pré,21900
2016-06,TIM,SMP_Pré,21880
2017-02,CLARO,SMP_Pós,21790
2015-05,TIM,SMP_Pós,21782
2015-11,TIM,SMP_Pré,21782
2016-01,SKY,SeAC,21777
2017-10,VIVO,SMP_Pós,21701
2020-05,VIVO,SMP_Pós,21688
2015-08,VIVO,STFC,21686
2015-10,TIM,SMP_Pós,21677
2019-06,OI,STFC,21616
2016-08,VIVO,STFC,21610
2019-01,CLARO,SMP_Pós,21603
2017-09,TIM,SMP_Pré,21597
2018-08,CLARO,SMP_Pós,21574
2016-04,VIVO,STFC,21527
2015-02,VIVO,SMP_Pós,21428
2016-12,OI,SCM,21359
2015-06,VIVO,STFC,21327
2019-02,CLARO,SMP_Pós,21321
2016-11,VIVO,STFC,21196
2018-07,CLARO,SMP_Pós,21176
2019-04,CLARO,SMP_Pós,21031
2015-04,CLARO,SMP_Pós,21024
2019-10,OI,STFC,20991
2015-07,TIM,SMP_Pré,20951
2018-05,CLARO,SMP_Pós,20925
2018-03,CLARO,SMP_Pós,20909
2017-08,VIVO,STFC,20880
2019-09,OI,STFC,20876
2017-08,TIM,SMP_Pré,20872
2017-10,CLARO,SMP_Pós,20856
2018-03,VIVO,STFC,20748
2016-02,TIM,SMP_Pós,20678
2019-11,VIVO,SMP_Pós,20665
2017-09,CLARO,SMP_Pós,20618
2017-11,VIVO,SMP_Pós,20611
2017-01,TIM,SMP_Pré,20595
2020-04,VIVO,SMP_Pós,20553
2016-05,TIM,SMP_Pré,20547
2016-03,TIM,SMP_Pré,20534
2017-08,OI,SCM,20481
2017-05,VIVO,STFC,20473
2017-09,VIVO,SMP_Pós,20441
2019-02,VIVO,SMP_Pós,20417
2015-12,SKY,SeAC,20414
2018-04,CLARO,SMP_Pós,20401
2020-01,VIVO,SMP_Pós,20394
2016-12,TIM,SMP_Pré,20339
2016-05,VIVO,STFC,20291
2018-10,TIM,SMP_Pré,20274
2016-09,VIVO,STFC,20250
2016-07,VIVO,STFC,20228
2015-01,VIVO,SMP_Pós,20227
2016-11,OI,SCM,20226
2020-01,OI,STFC,20197
2015-11,SKY,SeAC,20194
2016-07,OI,SCM,20164
2016-10,VIVO,STFC,20154
2020-03,CLARO,SCM,20151
2016-05,TIM,SMP_Pós,20143
2016-12,VIVO,STFC,20132
2017-12,TIM,SMP_Pré,20131
2019-05,CLARO,SMP_Pós,20122
2015-04,TIM,SMP_Pós,20006
2015-05,TIM,SMP_Pré,19973
2017-11,CLARO,SMP_Pós,19957
2017-05,OI,SCM,19894
2017-03,TIM,SMP_Pré,19839
2018-10,VIVO,STFC,19770
2018-04,VIVO,STFC,19756
2018-02,TIM,SMP_Pré,19711
2015-06,TIM,SMP_Pré,19710
2016-10,OI,SCM,19630
2018-01,CLARO,SMP_Pós,19629
2019-08,VIVO,SMP_Pós,19619
2019-05,VIVO,STFC,19594
2019-12,CLARO,SMP_Pós,19564
2017-04,CLARO,SMP_Pós,19550
2017-06,VIVO,STFC,19542
2018-01,VIVO,STFC,19531
2019-12,VIVO,SMP_Pós,19507
2019-08,CLARO,SMP_Pós,19506
2017-02,VIVO,STFC,19467
2018-10,CLARO,SMP_Pós,19416
2020-02,CLARO,SMP_Pós,19354
2017-02,OI,SCM,19342
2015-05,OI,SMP_Pós,19334
2019-07,CLARO,SMP_Pós,19272
2016-01,TIM,SMP_Pré,19214
2019-04,VIVO,STFC,19198
2016-09,OI,SCM,19175
2015-07,OI,SMP_Pós,19165
2019-07,VIVO,SMP_Pós,19140
2015-07,CLARO,SMP_Pré,19116
2017-10,OI,SCM,19091
2017-07,TIM,SMP_Pré,19019
2019-01,TIM,SMP_Pré,18992
2016-04,TIM,SMP_Pós,18907
2018-01,VIVO,SMP_Pós,18879
2017-04,TIM,SMP_Pré,18877
2017-07,OI,SCM,18834
2015-04,TIM,SMP_Pré,18777
2019-09,CLARO,SMP_Pós,18706
2015-08,OI,SMP_Pós,18706
2020-03,VIVO,SMP_Pós,18656
2019-10,CLARO,SMP_Pós,18647
2016-04,TIM,SMP_Pré,18597
2018-04,VIVO,SMP_Pós,18591
2018-02,CLARO,SMP_Pós,18559
2019-02,VIVO,STFC,18545
2015-06,OI,SMP_Pós,18534
2016-02,TIM,SMP_Pré,18527
2017-10,VIVO,STFC,18526
2017-07,VIVO,STFC,18503
2018-08,TIM,SMP_Pré,18500
2018-03,TIM,SMP_Pré,18466
2015-02,VIVO,STFC,18462
2015-03,VIVO,SCM,18422
2017-12,VIVO,SMP_Pós,18411
2019-07,VIVO,STFC,18405
2020-03,OI,STFC,18374
2019-03,VIVO,STFC,18356
2020-05,TIM,SMP_Pré,18271
2018-05,VIVO,STFC,18236
2017-06,TIM,SMP_Pré,18166
2017-04,OI,SCM,18129
2018-06,CLARO,SMP_Pós,18076
2017-06,OI,SCM,18069
2019-10,VIVO,STFC,18020
2018-07,VIVO,STFC,17975
2018-05,VIVO,SMP_Pós,17914
2018-11,CLARO,SMP_Pós,17887
2018-08,VIVO,STFC,17829
2015-08,TIM,SMP_Pré,17786
2018-12,CLARO,SMP_Pós,17741
2016-04,SKY,SeAC,17723
2019-12,OI,STFC,17695
2019-07,TIM,SMP_Pré,17642
2017-11,VIVO,STFC,17634
2019-03,VIVO,SMP_Pós,17633
2017-12,CLARO,SMP_Pós,17588
2018-07,TIM,SMP_Pré,17539
2019-05,VIVO,SMP_Pós,17531
2018-04,TIM,SMP_Pré,17503
2015-09,TIM,SMP_Pré,17496
2018-11,VIVO,STFC,17494
2018-09,CLARO,SMP_Pós,17454
2018-10,VIVO,SMP_Pós,17398
2018-05,TIM,SMP_Pré,17380
2017-03,SKY,SeAC,17327
2018-01,OI,SCM,17241
2018-11,TIM,SMP_Pré,17232
2016-06,OI,SMP_Pós,17219
2019-08,VIVO,STFC,17125
2017-09,VIVO,STFC,17121
2018-02,VIVO,SMP_Pós,17057
2017-02,TIM,SMP_Pré,17052
2015-10,TIM,SMP_Pré,17035
2020-02,VIVO,SMP_Pós,16978
2020-04,TIM,SMP_Pré,16952
2015-07,NEXTEL,SMP_Pós,16923
2018-09,VIVO,STFC,16892
2016-03,OI,SMP_Pós,16869
2020-02,OI,STFC,16834
2018-08,VIVO,SMP_Pós,16785
2020-01,TIM,SMP_Pré,16743
2017-05,SKY,SeAC,16726
2017-09,OI,SCM,16721
2018-07,VIVO,SMP_Pós,16696
2020-05,OI,STFC,16688
2018-06,VIVO,STFC,16687
2015-09,OI,SMP_Pós,16586
2015-01,OI,SCM,16564
2019-11,CLARO,SMP_Pós,16459
2015-02,CLARO,SMP_Pós,16445
2019-04,VIVO,SMP_Pós,16444
2015-08,CLARO,SMP_Pré,16431
2018-02,VIVO,STFC,16411
2017-04,VIVO,STFC,16393
2015-07,VIVO,SCM,16384
2019-11,OI,STFC,16355
2020-01,VIVO,STFC,16347
2018-03,OI,SCM,16336
2020-03,VIVO,SCM,16326
2019-04,TIM,SMP_Pré,16317
2016-04,OI,SMP_Pós,16305
2017-06,SKY,SeAC,16267
2019-08,TIM,SMP_Pré,16207
2019-09,VIVO,STFC,16174
2016-05,OI,SMP_Pós,16145
2017-11,OI,SCM,16125
2020-02,TIM,SMP_Pré,16067
2019-06,CLARO,SMP_Pós,16065
2020-04,OI,STFC,16056
2015-04,VIVO,SCM,16037
2020-01,CLARO,SCM,15974
2017-12,VIVO,STFC,15960
2018-06,VIVO,SMP_Pós,15889
2017-05,NET,SeAC,15885
2020-05,VIVO,SCM,15836
2016-01,OI,SMP_Pós,15765
2018-12,VIVO,STFC,15754
2020-03,TIM,SMP_Pré,15731
2017-08,NET,SeAC,15721
2016-08,OI,SMP_Pós,15680
2016-05,SKY,SeAC,15667
2018-11,VIVO,SMP_Pós,15555
2019-05,TIM,SMP_Pré,15549
