tipo,ano,solicitacoes
Reclamação,2015,4088635
Reclamação,2016,3911869
Reclamação,2017,3405696
Reclamação,2019,2978758
Reclamação,2018,2941240
Reclamação,2020,1256195
Pedido de Informação,2016,39927
Pedido de Informação,2017,37242
Pedido de Informação,2018,36192
Pedido de Informação,2015,34862
Pedido de Informação,2019,34682
Pedido de Informação,2020,11703
Elogio,2016,4950
Denúncia,2015,4353
Denúncia,2018,4332
Denúncia,2019,4296
Denúncia,2016,4276
Denúncia,2017,3890
Elogio,2015,3609
Sugestão,2015,1506
Sugestão,2016,999
Denúncia,2020,878
Sugestão,2019,853
Sugestão,2017,622
Sugestão,2018,585
Denúncia Anônima,2020,528
Sugestão,2020,361
Denúncia ANÔNIMA,2019,345
