uf,marca,solicitacoes
SP,VIVO,2102156
RJ,OI,1358586
SP,TIM,1099527
MG,OI,963606
SP,CLARO,915541
SP,NET,741516
MG,VIVO,504234
BA,OI,495425
MG,TIM,435139
RJ,TIM,334178
RJ,CLARO,330406
SP,NEXTEL,297313
RJ,VIVO,286373
PR,TIM,283066
SP,OI,263263
RS,OI,257904
SP,SKY,255657
RS,VIVO,253799
RJ,NET,242615
MG,CLARO,237314
BA,TIM,226335
PR,OI,217526
BA,VIVO,195736
PE,OI,190999
PR,VIVO,188412
GO,OI,186346
RJ,NEXTEL,183512
CE,OI,181080
RJ,SKY,161466
SP,Outros,158174
MG,NET,156858
BA,CLARO,149130
SC,OI,142638
SC,TIM,140802
RS,CLARO,139550
MG,SKY,135802
PE,TIM,135073
GO,VIVO,133187
ES,VIVO,116089
GO,CLARO,115018
PA,OI,104437
SC,VIVO,103949
DF,VIVO,101960
BA,SKY,101311
CE,TIM,99854
GO,TIM,86613
PR,CLARO,86195
MA,OI,81938
DF,CLARO,81663
DF,OI,75806
PE,VIVO,75446
MG,Outros,73831
ES,OI,73543
PR,NET,71488
RS,TIM,69772
DF,TIM,66872
RS,NET,65303
RJ,Outros,63232
PE,CLARO,58825
DF,NET,58393
CE,VIVO,57851
SC,CLARO,54172
SE,VIVO,52830
MG,ALGAR,51005
PB,OI,50288
RS,SKY,46851
MT,OI,44919
GO,NET,44641
SC,NET,44438
CE,CLARO,43907
PI,OI,42416
BA,NET,42070
PA,TIM,39864
RN,TIM,38250
MS,VIVO,37846
GO,SKY,37483
SE,OI,37411
PB,TIM,37216
AM,OI,36770
MS,OI,33678
RN,OI,32738
AL,TIM,32517
MT,VIVO,32299
CE,SKY,31997
PR,Outros,31808
PE,SKY,30588
ES,CLARO,27612
MS,CLARO,27424
PA,VIVO,26743
PE,NET,25673
PR,SKY,25494
DF,SKY,25439
PA,CLARO,24690
DF,Outros,24293
RS,Outros,24023
PB,CLARO,23734
ES,NET,23610
BA,Outros,22015
PI,TIM,21705
PB,VIVO,21692
PA,SKY,21006
MA,TIM,20913
AM,NET,20903
RO,OI,20856
AM,VIVO,20383
SE,TIM,19623
MT,CLARO,19268
AL,OI,19079
PA,NET,18431
CE,Outros,18273
RN,CLARO,17743
TO,OI,17517
AM,CLARO,17410
MA,CLARO,17062
AM,TIM,15570
PI,CLARO,15525
ES,SKY,15299
ES,TIM,14704
SP,ALGAR,14519
PB,NET,14420
CE,NET,14408
MT,TIM,14152
SC,Outros,14019
SC,SKY,14009
MA,VIVO,13703
MS,TIM,12967
AL,CLARO,12948
MA,SKY,12831
SE,CLARO,11726
AL,VIVO,11706
MS,NET,11606
GO,Outros,11573
  ,OI,11314
PE,Outros,11098
  ,VIVO,10726
SE,SKY,10462
MT,SKY,10008
PI,VIVO,9859
AM,SKY,9840
PB,SKY,9592
  ,Outros,9573
RN,SKY,9325
MT,NET,9268
