uf,ano_mes,solicitacoes
SP,2015-07,121556
SP,2016-03,112682
SP,2015-03,110888
SP,2015-08,110046
SP,2015-06,109549
SP,2016-08,108639
SP,2015-09,108524
SP,2015-10,108056
SP,2016-01,107173
SP,2015-05,105820
SP,2017-01,104131
SP,2015-11,103873
SP,2016-02,102952
SP,2017-03,102792
SP,2015-12,102154
SP,2015-04,100767
SP,2019-01,100678
SP,2016-07,100090
SP,2016-06,99724
SP,2017-05,99406
SP,2016-11,97736
SP,2017-08,97717
SP,2016-09,94810
SP,2016-04,94011
SP,2016-10,93845
SP,2016-12,92733
SP,2016-05,92064
SP,2017-06,90120
SP,2017-07,89225
SP,2019-03,88963
SP,2018-01,88710
SP,2019-02,88365
SP,2018-03,87786
SP,2017-10,86454
SP,2020-05,86292
SP,2019-04,86257
SP,2020-04,85521
SP,2017-02,85317
SP,2020-01,85248
SP,2019-07,84896
SP,2019-05,84845
SP,2018-04,84444
SP,2017-11,83699
SP,2017-09,83553
SP,2018-10,83469
SP,2020-03,82939
SP,2017-04,82305
SP,2019-08,80577
SP,2019-10,80525
SP,2018-05,80262
SP,2018-08,80170
SP,2019-09,77942
RJ,2015-07,77543
SP,2017-12,77031
SP,2015-02,76553
SP,2018-11,76177
SP,2018-12,76062
SP,2018-02,75724
SP,2018-09,75105
SP,2019-12,75010
RJ,2015-03,74598
SP,2020-02,74041
SP,2018-07,73726
RJ,2016-03,71754
SP,2019-06,71008
SP,2019-11,70664
SP,2018-06,70398
RJ,2015-06,68857
RJ,2015-05,68737
RJ,2015-04,67177
RJ,2015-08,66995
RJ,2015-09,63013
RJ,2016-02,61954
RJ,2016-01,61477
SP,2015-01,59185
RJ,2015-10,57827
RJ,2015-12,56277
MG,2016-03,54228
RJ,2016-08,54198
RJ,2016-04,54162
RJ,2015-11,53772
RJ,2017-01,53486
RJ,2016-06,53394
RJ,2016-05,52415
RJ,2017-08,51199
MG,2015-07,51095
MG,2015-08,50535
RJ,2015-02,49978
RJ,2017-05,49656
RJ,2016-07,49469
MG,2015-03,49073
RJ,2016-11,48974
MG,2016-08,48835
RJ,2017-03,48761
MG,2016-01,48728
RJ,2016-09,48690
MG,2015-09,47947
MG,2017-01,47938
RJ,2016-12,47386
MG,2016-02,47227
MG,2017-03,47103
MG,2015-12,47070
MG,2016-04,46505
MG,2016-06,46505
MG,2015-11,46182
MG,2015-06,46176
RJ,2017-07,45923
MG,2016-05,45452
RJ,2017-06,45450
RJ,2016-10,45358
MG,2015-05,45294
MG,2016-12,45131
MG,2016-07,44632
MG,2016-11,44155
MG,2015-10,43964
RJ,2017-10,43797
MG,2017-08,43693
MG,2015-04,43462
MG,2016-09,43246
MG,2017-05,43205
RJ,2018-01,42935
MG,2016-10,42888
MG,2019-01,42607
RJ,2017-09,42103
RJ,2019-01,41755
RJ,2017-02,41369
RJ,2017-04,40438
RJ,2017-11,40329
RJ,2018-03,39919
MG,2017-02,39297
MG,2017-10,39072
MG,2018-03,38516
RJ,2019-05,38319
MG,2017-07,37959
RJ,2017-12,37873
RJ,2018-10,37864
RJ,2018-08,37772
MG,2019-07,37726
MG,2018-01,37722
MG,2017-11,37401
RJ,2018-04,37391
RJ,2019-03,37192
RJ,2020-03,37019
RJ,2019-04,36969
RJ,2019-02,36825
MG,2017-04,36806
MG,2017-09,36786
MG,2017-06,36774
MG,2018-04,36673
MG,2019-05,36643
RJ,2020-04,36533
RJ,2020-05,36443
MG,2018-08,36425
MG,2019-04,36148
RJ,2018-05,35955
MG,2019-02,35912
MG,2018-10,35592
RJ,2018-07,35578
RJ,2019-07,35510
