Data_Abertura;Tipo;Motivo;Detalhe_Motivo;Status;Agrupamento;Nome;Porte;Grupo_Economico;UF
18/02/2023;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;RS
29/07/2023;Reclamação;Falha;Falha/Interrupção do serviço;Não Respondida;SCM;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;Claro;MA
14/06/2023;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;Net Serviços De Comunicação S.A.;Grande;Claro;RJ
23/09/2022;Reclamação;Velocidade;NÃO INFORMADO;Não Respondida;SCM;CLARO S.A.;Grande;Claro;PA
24/01/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;RJ
26/06/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Em Andamento;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;SP
13/12/2022;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;TIM CELULAR;Grande;TIM Group;SP
22/01/2023;Reclamação;Contrato;Cancelamento não realizado;Respondida;SCM;CLARO S.A.;Grande;Claro;SP
09/06/2023;Reclamação;Atendimento;Atendimento inadequado;Respondida;SCM;CLARO S.A.;Grande;Claro;PB
26/02/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Em Andamento;SCM;TIM CELULAR;Grande;TIM Group;AM
01/06/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Em Andamento;SCM;OI S.A.;Grande;Oi;BA
06/02/2023;Reclamação;Falha;Falha/Interrupção do serviço;Em Andamento;SCM;CLARO S.A.;Grande;Claro;PB
07/05/2022;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;TIM CELULAR;Grande;TIM Group;PR
10/01/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Não Respondida;SCM;EMBRATEL S.A.;Grande;Claro;RN
09/10/2023;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;EMBRATEL S.A.;Grande;Claro;RJ
17/09/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Não Respondida;SCM;NET SERVIÇOS DE COMUNICAÇÃO S.A.;Grande;Claro;MS
09/02/2023;Reclamação;Falha;Falha/Interrupção do serviço;Não Respondida;SCM;CLARO S/A;Grande;Claro;SP
19/01/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;CLARO S.A.;Grande;Claro;MA
26/07/2023;Reclamação;Instalação;Prazo de instalação excedido;Respondida;SCM;EMBRATEL S.A.;Grande;Claro;MS
14/07/2022;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;TIM CELULAR;Grande;TIM Group;MG
19/03/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Não Respondida;SCM;EMBRATEL S.A.;Grande;Claro;RJ
05/02/2023;Reclamação;-;Velocidade abaixo do contratado;Não Respondida;SCM;CLARO S.A.;Grande;Claro;SP
27/04/2023;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;CLARO S.A.;Grande;Claro;PA
22/05/2022;Reclamação;Cobrança;Cobrança indevida;Não Respondida;SCM;CLARO S.A.;Grande;Claro;RJ
30/05/2023;Reclamação;Cobrança; ;Respondida;SCM;TIM CELULAR;Grande;TIM Group;BA
16/01/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Não Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;MG
23/02/2023;Reclamação;Velocidade;NÃO INFORMADO;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;BA
25/12/2022;Reclamação;Cobrança;Cobrança indevida;Respondida;SCM;TIM CELULAR;Grande;TIM Group;PB
03/12/2023;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;TIM CELULAR;Grande;TIM Group;CE
28/10/2023;Reclamação;Atendimento;Atendimento inadequado;Não Respondida;SCM;CLARO S.A.;N/A;Claro;RJ
06/04/2022;Reclamação;Cobrança;Cobrança indevida;Em Andamento;SCM;CLARO S.A.;Grande;Claro;SP
04/02/2022;Reclamação;Contrato;Cancelamento não realizado;Respondida;SCM;TELEFONICA BRASIL S.A.;Grande;Vivo;SP
13/01/2022;Reclamação;Velocidade;Velocidade abaixo do contratado;Respondida;SCM;OI S.A.;Grande;Oi;SP
25/07/2023;Reclamação;Falha;Falha/Interrupção do serviço;Respondida;SCM;EMBRATEL S.A.;Grande;Claro;SP
